id,name,sex,profession,type,,,,
jb,Jérome Boateng,1,4,1,,,,
fcb,FC Bayern München,99,99,2,,,,
au,Audi,99,99,2,,,,
car,Carmushka,2,5,1,,,,
kv,Katharina Vuc,2,2,1,,,,
bs,Briane Sahara,2,2,1,,,,
rof,Ruby O. Fee,2,5,1,,,,
som,Sony Music,99,99,2,,,,
emg,Eva Marisol Gutowski,2,5,1,,,,
al,Alyssa Lynch,2,99,1,,,,
je,Johnny Edlind,1,1,1,,,,
ak,Alina Katharina,2,99,1,,,,
mvb,Marie von Behrens,2,,1,,,,
cart,Cartier,99,99,2,,,,
